Id Placa;AIT;Data_infracao;Hora_infracao;Cod_enq;Descricao_enq;Cod_local;Descricao_local;Cod_equip;Cod_serie_equip
570;RVA42682538;18/10/2013;00:37:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7525;AV. EUSEBIO MATOSO, APOS R. CARDEALARCOVERDE (SENTIDO CENTRO/BAIRRO);6561;9904046-FX2 
570;XVA17017127;09/01/2014;00:08:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6060;AV. MARIA COELHO AGUIAR, PROXIMO A R.ANTONIO DA MATA JR. - SENT. BAIRRO/CENTRO;5567;9902052-BC 
570;BRA19847443;22/11/2013;18:54:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1606;AL. SANTOS, N. 2511 - SENTIDOCONSOLAÇAO/PARAISO;3267;337-FX2 
570;UVA21143264;07/12/2013;15:10:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA21443012;15/12/2013;21:59:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA21014286;03/12/2013;00:51:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;RVA43790105;01/12/2013;02:45:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7525;AV. EUSEBIO MATOSO, APOS R. CARDEALARCOVERDE (SENTIDO CENTRO/BAIRRO);6562;9904046-FX3 
570;RVA44730220;04/01/2014;07:06:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7525;AV. EUSEBIO MATOSO, APOS R. CARDEALARCOVERDE (SENTIDO CENTRO/BAIRRO);6561;9904046-FX2 
570;BVA10753339;28/11/2013;01:54:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;1631;R. TEODORO SAMPAIO, N. 1316 -SENTIDO BAIRRO/CENTRO;3335;358-FX1 
570;UVA21719808;22/12/2013;17:12:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4217;AV NACOES UNIDAS, SOB PONTE DO SOCORRO, SENTIDO INTERLAGOS/CASTELO BRANCO;5111;500008
570;UVA21611403;20/12/2013;13:03:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA21664868;21/12/2013;22:33:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;RVA42789383;21/10/2013;18:09:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7531;AV. NOVE DE JULHO, SOB VD. NOVE DEJULHO (SENTIDO CENTRO/BAIRRO);6590;9904015-FX3 
570;XVA16618780;05/10/2013;19:32:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6055;R. OLIVIA GUEDES PENTEADO, PROX. A R.NSA. SRA. DO SOCORRO -SENT. BAIRRO/CENTRO;5560;9902039-BC-FX1 
570;SVA36834891;20/11/2013;17:31:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3004;AV. ANTARTICA, FIM DO VD. ANTARTICA- SENTIDO MARGINAL TIETE / PINHEIROS;8011;0143-FX2 
570;UVA19904601;01/11/2013;10:17:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA23132618;25/01/2014;14:54:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;RVA44330710;23/12/2013;21:53:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7558;AV. REBOUÇAS, ALT. DO N. 2380(SENTIDO CENTRO/BAIRRO);6645;9904077-FX2 
570;SVA36562255;26/10/2013;17:05:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3004;AV. ANTARTICA, FIM DO VD. ANTARTICA- SENTIDO MARGINAL TIETE / PINHEIROS;8011;0143-FX2 
570;UVA21952561;26/12/2013;14:18:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;XVA16824665;23/11/2013;00:42:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6060;AV. MARIA COELHO AGUIAR, PROXIMO A R.ANTONIO DA MATA JR. - SENT. BAIRRO/CENTRO;5567;9902052-BC 
570;UVA23240070;28/01/2014;13:24:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
570;UVA22332419;02/01/2014;22:47:00;74630;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
